452	0.00056326 0.0010708 -8.1368e-05 -0.0017293 0.0021126 0.0017647 -0.00066817 -0.00094531 0.0018206 0.0018687 0.00077848 0.0010131 0.00010665 0.00071321 -0.0014316 0.00014111 0.0005028 8.2688e-05 -0.00078532 -0.00081077 -0.00059474 0.0010429 0.00086998 -0.00085534 -0.00026557 -0.00065381 0.00090338 -0.0010174 -0.0010234 0.0020596 -0.0004193 0.00039633 -0.0010791 -0.00057881 -0.0016703 0.00063862 0.00016699 -0.00086084 -0.0009559 -0.0015576 -0.00057426 0.0027047 0.00057375 0.0015604 0.0017814 0.00016359 0.00097596 -8.3956e-05 -0.000479 0.00046625 -0.0014373 0.00061554 -0.0015829 -4.9353e-05 -0.00079787 -0.00047948 -0.0010655 0.001211 0.0023357 0.0011571 -0.00090711 0.0007266 0.0011285 0.00073633 -0.0010116 -7.9715e-05 -0.00071543 0.00094043 0.0017599 -0.00016052 -0.001163 0.00050925 0.0002271 -0.0015832 0.00086179 -0.00047119 0.00091661 0.0017073 0.0017292 -0.00074651 -0.0018832 0.00147 0.001234 -0.00063508 0.0001717 -0.00014935 0.0010618 0.0011688 -0.0013381 -0.00025541 0.00073832 0.0010203 0.0027107 -0.0025126 -0.00016209 -0.00072915 -7.4517e-05 0.0014862 -0.00098859 -0.00057533
174-2	3.9687e-05 0.001481 -0.0010576 -0.00053096 0.0011701 0.00037002 -0.00079393 7.0673e-05 0.00036642 0.0022082 -0.0015028 0.00087532 0.00083507 0.001539 -0.00051204 0.00017852 -0.00045289 -0.00015821 0.0013694 -0.0010329 0.001271 0.0015212 0.0006327 -0.0006151 -0.00065604 -0.00083781 0.00076534 -0.0013745 -0.0016809 0.0012044 -0.00031784 -2.3056e-05 -0.00022766 -0.0012669 -0.0022941 0.00044666 -0.00052473 -0.0012337 -0.0015601 -0.00021567 -0.0012103 0.00042773 0.00055141 0.0011372 0.00056212 -0.0016966 0.00034068 5.8816e-05 -0.0016405 0.0019135 -0.0019615 -0.00033333 -0.0022195 0.0017901 -0.00059639 -0.00062067 -0.0010549 0.0017773 0.00060415 0.00028844 0.00040071 0.0011037 0.0028819 0.0020725 0.00028105 0.00024822 -0.0015588 -3.5326e-05 -0.00087719 -0.00021619 -0.0015684 0.00073947 0.00072212 -0.0010491 -0.0018749 -0.00093937 0.0018769 0.00073126 0.00019246 -0.00071175 0.00077456 -0.00033597 0.0010334 -0.00025876 0.00099367 0.00059237 -0.00084056 0.0013447 -0.00085089 0.00053649 0.00097785 0.00056765 0.0027406 -0.00070033 0.00015582 -0.00098465 -3.1132e-05 0.001236 -0.0014716 -6.9948e-05
817-10	-0.0011522 0.0013938 -0.0010813 -0.0020606 0.0012982 0.0010862 -0.00013383 0.00019276 0.0019319 0.0017628 -0.0004416 -7.9242e-05 0.00076169 -0.00016431 -0.00012411 -9.5113e-06 4.9455e-05 0.0015351 -0.00075407 -0.00079364 -0.00095639 0.0009443 0.00064708 -4.8171e-05 -0.00095247 -0.00079825 3.3799e-06 -0.0016052 -0.00071113 0.00038475 -0.00091668 0.00023032 -0.00037919 -0.0012725 -0.001638 -2.0596e-06 -0.00084226 -0.00076335 -0.00057051 -0.0010065 0.0013311 0.0019701 0.00028605 0.0013698 0.00065198 0.00050488 0.00030742 -0.0004506 -0.00067286 0.0015169 -0.001411 0.0012865 -0.0015786 0.0027789 -0.00098332 -0.001272 0.00021052 0.0014619 0.0020792 0.00024118 -0.00067601 0.00051331 0.0015453 0.00088052 -0.00039161 -0.000718 -0.0019926 0.00030034 0.00021256 -0.00013453 -0.00092477 0.00092526 -0.00047294 -0.001413 0.00052412 -0.00099115 0.0016931 0.001257 0.00070367 0.00054223 -1.3551e-05 0.0014269 0.0022503 -0.00045042 -0.00061082 -0.0013266 0.00043131 0.00061913 -0.0011398 0.00036634 0.0016255 0.00050581 0.0015876 -0.00093083 -0.0011239 -0.0015019 -4.6126e-05 -0.00030381 -0.00099286 -0.00133
817-11	-0.00060156 -0.00020363 0.0016653 0.00018428 0.0016477 0.00097377 0.00073621 0.00045324 0.001448 0.0027328 -0.00057148 -8.7835e-05 -0.0022688 0.00083234 -0.00043313 -0.00090317 -0.00027445 0.00059443 -0.0011116 -0.002216 -0.0016141 -0.00042098 0.00016658 -0.00013575 0.0008028 -0.0013813 0.00018144 -0.00108 0.0012291 1.6515e-05 -0.00098187 0.00041121 -0.0022031 -0.0006586 2.8255e-05 -0.00012668 -0.00070642 -0.0012846 -0.00056054 5.065e-05 0.00015989 0.00042109 -0.00091176 0.0022716 0.0018273 -7.6014e-05 -0.00046969 -0.0013246 -0.00075244 0.001629 -0.00035229 0.0014448 -0.0021188 0.0022057 -0.0010392 -0.0012401 -0.00097787 0.00158 0.00029182 -0.00049877 -0.0016858 -0.00033162 0.0006122 0.0013651 -0.0009692 -0.00044691 -0.00080851 0.00069466 0.00035479 -0.00046339 -0.0019274 -8.938e-05 0.0012449 -0.0019403 0.00072023 -0.0011851 0.0019972 -0.00053805 0.00075786 0.0011761 0.0012183 0.00097842 0.00024429 0.00017776 -0.00085954 0.0017141 -0.00027533 2.6915e-05 0.00057406 1.8292e-06 0.00098473 0.00045052 0.0029128 -0.00067196 -0.001632 -0.00090753 -0.0023823 -0.00081155 -0.00022184 -0.0015192
507	0.00046555 0.0014254 0.00019326 0.0010822 0.0016559 0.00078568 -0.00079506 1.6317e-05 0.0007322 0.001116 -0.00049619 -0.00039819 0.00012871 0.00040198 -0.00026034 -0.00091444 -0.0008054 -0.00049298 -0.0001268 -0.0016992 0.00017738 0.0021368 0.00016199 -0.00034234 -0.00047472 -0.0026852 -0.00025051 -0.00138 -0.0004754 -0.00015332 -0.0017462 -0.00041944 0.0008616 -0.0023628 -0.0018953 -0.0017635 -0.0014732 -0.00043706 -0.00062388 -0.00054844 -0.00015505 0.003022 0.00079767 0.0015925 0.00088928 6.4108e-05 -2.7152e-05 -0.00012732 0.00020644 -0.00027135 -0.0024354 0.00084161 3.9476e-05 -0.00020754 -0.0017513 -0.0014796 -0.00054046 0.00052775 0.002826 0.0010587 -0.00046136 0.001287 0.00048347 0.0023544 2.4382e-06 -0.00070675 -0.0013039 0.0014628 -0.0016851 0.0017414 -0.00094669 0.0014455 -0.00022531 -0.002042 -0.00091366 -5.7755e-05 0.0020972 0.00034553 0.0019611 0.00033786 -0.00010448 0.00082242 0.0019027 -0.0014291 -0.00050928 -0.00052314 0.00070617 -0.00027755 -0.000441 0.00094719 0.0024256 0.00083526 0.0034033 -0.0017377 -0.00018311 -0.001439 -0.0011938 0.00022278 -0.00087932 -3.8939e-05
344	0.0013602 0.0044835 0.00088482 -0.001004 0.0015038 0.0015774 -0.00255 0.00052354 0.0028677 0.0021122 -0.0022184 0.00036784 0.0013302 0.0019634 -0.0012571 -0.00133 -6.7146e-05 0.00091629 0.0006002 -0.0013626 0.000698 0.004196 0.0023135 -0.0004357 -0.0018263 -0.0012531 -0.00076149 -0.0017796 -0.0014798 0.0010492 -0.0041221 0.00082794 -0.0006953 -0.0012531 -0.003023 0.00071215 -0.0014815 -0.001073 -0.0010312 -0.00064082 3.1614e-06 0.0029059 0.00071214 0.00029587 0.0019223 0.0010503 0.0015474 -0.0015101 -0.00065585 0.0014403 -0.0022297 0.0012121 -0.00085589 0.00093142 -0.0010024 0.00075125 -0.00010061 -0.0008833 0.002433 -0.00044693 -0.0019469 0.0027631 0.0018565 0.0019755 -0.00087569 0.0021285 -0.0036514 8.1592e-05 0.0018575 0.0010406 -0.0010737 0.00074622 3.1402e-05 -0.0010184 -0.00071853 0.00033309 0.0027833 0.0011923 0.00091886 -0.0015894 -0.0018312 0.001241 0.0015492 -0.00043389 -0.0003179 -0.00058538 -0.00046313 0.0010418 0.00020096 -0.0008353 0.0021899 0.0020659 0.001579 -0.0019014 -0.00023211 -0.0030453 -0.00090953 0.001979 -0.00093846 -0.002026
345	-0.00048697 0.0027158 -0.00048473 -0.00059301 0.00063713 -0.00050042 -0.00038223 -0.00084477 0.00043285 0.0016284 -0.0025961 0.0039286 -0.00014497 0.00027127 -0.00068058 -0.0025764 -0.00074597 -0.0019051 0.00055974 0.0023875 0.0020696 0.0020595 0.0013542 -0.0015897 -0.0017677 -0.00029859 0.0016686 -0.00074444 -0.0012837 0.0017351 -0.00057633 0.00099823 -0.00026275 -0.00092614 -0.0024194 -0.00041067 0.0014481 -0.0010953 -0.0017442 -0.00075811 1.7218e-06 0.0027495 0.0016939 -0.0025381 0.001013 -0.0014639 0.0027627 -0.0010681 0.00057698 0.00092571 -0.0029885 0.00014305 -0.0019301 -0.0017547 -0.00014358 -0.0022098 -0.0012939 0.00015805 0.0011445 0.00083046 -0.0027418 0.0017452 0.0022794 0.00067648 -0.0014754 0.00044496 -0.0028497 -0.00073461 0.0015263 0.00086067 0.0015909 0.0020113 0.00029968 -0.0010389 -0.00091025 0.0016276 0.0041024 0.0043988 0.001192 0.00028374 0.0011438 0.0013923 0.0008452 -0.00049618 0.00037911 -0.0018491 -0.0003149 0.0015847 -0.0032443 -0.0024034 9.2793e-05 0.00023233 0.0021031 -0.0014921 -0.00012927 -0.002916 -0.00075277 0.00084177 -0.0014201 -7.7221e-05
346	0.00017168 0.00096755 0.0007483 -0.00092494 0.0012316 0.0020613 0.00058514 8.8163e-05 0.00036051 0.0016501 -0.00059091 0.00022696 0.00086073 0.0021357 -0.0014202 0.0004826 0.00067842 0.00023124 0.00048121 -0.00086916 -0.00097467 0.0022644 0.0011994 -0.00038691 0.00062266 -0.0012411 -0.00049159 -0.00070077 -0.00087677 0.0026383 -0.00086165 -3.2921e-05 -0.0013258 -0.0010591 -0.0019718 -0.00021389 0.0010617 -0.0012321 -0.0011512 -0.0015164 0.0001247 0.00077169 -4.0651e-05 0.0013916 0.00085101 -0.0010155 -0.00086147 -0.00016857 -0.0016954 9.2849e-05 -0.0016902 0.0011635 -0.0012731 0.0018462 -8.2851e-05 0.0001321 -0.0019521 -0.00072517 0.0018932 0.00066691 -0.0014806 0.0010948 0.0025839 0.001394 -0.0012649 0.0004227 -0.0008091 -0.00046485 0.00076211 0.00039196 -0.0012016 0.0010111 0.00024683 -0.00029109 -0.0010042 -0.0011986 0.0026188 0.0011861 0.00047475 -0.00055664 -0.00095273 0.0015614 0.0012308 -0.00020421 0.0005071 -0.00042682 0.0019809 6.5413e-05 -0.00088335 0.00044317 0.0011115 -0.00024606 0.0017896 -0.0020496 0.0006057 -0.0027483 -0.00021956 0.00052952 -0.00067093 -0.00063586
347	-0.00032608 0.00077973 0.00037736 -0.0011827 0.00070775 0.0011332 0.00088537 -0.00047235 -0.0002366 0.0015125 -0.00033556 0.00048072 0.00036532 0.00070109 -0.00053821 -1.915e-05 -0.00014376 -0.00060967 -0.00092303 -0.00049581 -0.00090427 0.00092541 0.001398 -0.0023183 3.9692e-05 -0.00043652 0.0013218 -0.00080341 -0.00051908 0.0021073 -0.00056491 0.00051468 -0.0021958 -0.0017871 -0.00054719 -0.0011981 0.0010536 0.0001776 -0.00052772 -0.00087161 3.4347e-05 0.0013208 0.00107 0.0022787 0.00053668 -0.00096322 -0.00040101 0.00083163 -0.0015222 0.00048718 -0.00085856 0.0014844 -0.00078141 0.0014566 0.00041194 -0.0012996 -0.0018227 0.00026923 0.00091373 0.00078388 -0.00060472 0.0019153 0.00046804 0.00046955 -0.00046184 -0.0014211 -0.0004101 0.00075924 -0.00086804 -0.00069965 0.00019207 -0.00029218 -0.0022525 0.00036069 -0.00047647 -0.0011764 0.00021433 0.001229 -0.00042583 -8.1503e-05 -0.00054039 0.00091674 0.0019756 -0.0015358 0.00044994 -0.0012701 0.0017155 0.0011448 -0.00036032 -0.00097143 0.0018753 0.00088863 0.002006 -0.00099643 -0.0023405 -0.0015508 4.1162e-05 0.0010897 0.00090518 -0.00035954
340	-0.0012048 0.0024485 -0.00059588 -0.00093913 0.0017249 0.00035347 -0.0003131 -6.9841e-05 0.0016522 0.00063954 -0.0011209 -0.00024619 0.00017413 0.0013886 -0.002275 -0.0014472 0.00016389 0.0011827 -0.00010489 -0.00045468 -7.8202e-05 0.0023164 0.0013053 -0.0010123 1.0396e-05 -0.0014326 0.00026345 -0.00051889 -0.00092761 0.001064 -0.0015585 0.00089513 -0.0013022 -0.0015175 -0.0037876 -0.00031209 -0.00082825 -0.0018774 -0.00069969 0.00082185 -0.0006794 0.00183 0.00096631 0.00027064 0.0013067 -0.00047022 0.00092543 -0.00025425 -0.00096252 0.00058628 -0.00096011 0.0021246 -0.00039114 0.00013372 -0.00022132 -0.0013311 -0.00081717 -6.5747e-05 0.0012493 0.00080005 0.00040973 0.0022931 0.0017382 0.0019308 -0.00043696 0.0002144 -0.0011858 -5.7746e-05 0.0014871 -0.00077362 -0.0023442 0.00081821 -0.00071249 -0.00036924 0.00021716 0.00013982 0.00086174 0.0011883 6.67e-05 -0.0010196 -0.0017616 -0.00083536 0.001488 -0.0010273 -0.00018093 -0.0011751 0.00057874 0.00032405 -0.0013218 -0.00031485 0.0016816 -0.0001311 0.0028305 -0.0017212 0.00026426 -0.0021152 0.00068107 0.0019649 -0.0020486 -0.001588
