H27-24-4	a borrower must restore a borrowed thing to its original condition on termination of the loan for use but the borrower must obtain the consent of the lender to remove anything attached to the borrowed thing a lessee must restore a leased thing to its original condition on termination of the lease but the lessee need not obtain the consent of the lessor to remove anything attached to the leased thing
H18-2-2	in cases where an individual rescues another person from getting hit by a car by pushing that person out of the way causing the person's luxury kimono to get dirty the rescuer does not have to compensate damages for the kimono
H26-4-G	even if a principal ratified the act of unauthorized agency against the unauthorized agent the principal may not assert the ratificatoin vis-a-vis even the unauthorized agent
H20-26-2	a contract for work is a contract for value and when there is a need to transfer the subject matter the renumeration must be paid simultaneously with delivery and when there is no need to deliver a thing it must be paid simultaneously with the completion of work
H26-19-G	in cases where the contract of guarantee between c and b is concluded with respect to monetary debt of a against b when c who has become a guarantor against the will of a has performed the obligation c shall have the right to obtain reimbursement only to the extent that a is actually enriched
H27-5-E	in cases where a promised b that a would give his her car "x" when b would pass a graduation examination of the medical department if a sells his her car "x" to a third party c b may claim for the compensation for damages arising from a's act
H26-6-A	the extinctive prescription of claims assigned unspecified due date commences to run when the obligee becomes aware of the arrival of such time limit
H26-22-2	gifts not in writing may also be revoked with respect to any portion of the gift for which performance has been completed
H21-3-5	if person a donates a house that he she is renting to person c with a provision for the payment of rent at the end of every month to person b midway through the month if there is a special agreement between person a and person b the rent for the month will be distributed between person a and person b in proportion to the number of the days
H20-27-E	if a partner dies his her heir shall assume his her position
H23-4-U	in cases where a privately appointed agent appoints a subagent due to unavoidable reasons the sub-agent only possesses a legal relationship with the agent so acts of the subagent are not acts of agency for the principal
H24-25-1	properties other than money may be made the subject of a loan for consumption
H21-26-U	the cancellation of a partnership contract shall solely become effective toward the future
H27-28-A	a person who has taken the life of another must compensate for damages only to heirs of the victim
H22-25-3	in cases where the contractor demands the party ordering work to provide remuneration if there is any defect in the subject matter of work performed and the party ordering work demands that the contractor repair the defect the party ordering work can refuse to pay remuneration
H27-15-I	even if the parties makes an agreement that the compensation for damages will be paid by any thing which is not money the agreement shall be void
H26-31-G	a juridical person may not become a gurdian of minor
H27-35-I	in cases where a person with a duty of testamentary gift gives notice to a testamentary donee to the effect that acceptance or renunciation of a testamentary gift should be made within a specified period fixing a period that is reasonable if a donee does not indicate his her intention to a person with a duty of testamentary gift within that period the testamentary gift shall be deemed to have been accepted
H27-23-I	if the parties do not specify the term of a lease the lessee may request to terminate it at any time on the other hand if the parties do not define the time for return in a loan for consumption the borrower may request to terminate it any time only in a loan for consumption without interest
H22-5-I	a time limit can be added to the manifestation of intention of offset but conditions cannot be added
H21-24-A	either the donor or the donee may revoke gifts not in writing however that this shall not apply for any portion of the gift for which performance has been completed
H26-16-E	in cases where the subject of sale wine is specified only with reference to a type and the delivery of wine is effected at the domicile of the buyer in case the buyer refuses to accept the performance even though the seller brings wine to the domicile of the buyer with the main purport of the obligationif the wine has been lost due to negligence of the buyer after that the buyer shall not be relieved of the obligation of payment of purchase money
H21-26-O	if after a sales contract for moveables is entered and a portion of the purchase price is paid the sales contract is cancelled due to default of the seller then he she bears an obligation to compensate the buyer for damages but in returning the portion of the purchase price that was received there is no need to add interest from the time of that receipt of those moneys
H24-20-E	the principal for the principal obligation under a contract for revolving guarantee on loans shall be determined if an obligee has filed a petition for compulsory exection with respect to a claim the subject- matter of which is payment of money on any property of the guarantor in cases where the proceedings for the compulsory exection have been commenced
H24-30-2	in the cases where delivery of the subject matter of a contract for work between a and b is required if a contractor a intends to claim remuneration against a party ordering b a shall prove that the subject matter of a contract has been delivered as revived cause of action
H20-19-O	a person other than the obligor may not do performance deposit
