H26-11-A	the order of priority of mortgages may be changed only with the agreement of all mortgagees provided however the changes may not be asserted against third parties unless registered
H26-10-3	a library of a university a has a book "p" and a professor b borrowes the same and uses his her office in the same campus in the case where b left "p" in a train on the way home and f found and possesses the same b may claim for the restoration of "p" by bringing an action for recovery of possession against f
H21-9-1	after person a who is the owner and depositor of a moveable orders person b who is the depositary to thenceforward possess the moveable on behalf of third party person c and person c consented thereto person c shall acquire the possessory right for the moveable
H24-15-3	a primary obligor may not make a claim for the extinction of a mortgage however a jointly and severally liable guarantor with respect to the obligation may make that claim
H25-16-4	a mortgage shall extend to the buildings on the mortgaged land as long as the mortgage provides otherwise
H23-12-U	a person who is being exercised rights of retention can demand that the right be extinguished by tendering reasonable security but a person who is being exercised rights of defense for simultaneous performance cannot demand that the right be extinguished by tendering reasonable security
H20-15-A	a pledgee must possess a pledged thing with the care of a good manager
H18-15-2	if the principal is fixed the revolving mortgage will be treated the same as an ordinary mortgage and thus interests or damages of secured claims secured by the revolving mortgage shall be limited to the amount of the last two years
H19-16-4	holders of superficies created upon mortgaged real estates may not make a claim for the extinction of the mortgage
H20-12-4	a right of retention and a pledge do not expire by just satisfying his her a portion of the secured claim due to their indivisibility but for a right of retention the obligor may demand the expiration of the right by offering appropriate collateral
H26-12-I	if a tree or bamboo branch from neighboring land crosses a boundary line the landowner may sever that branch and claim reimbursement of those costs from the owner of the neighboring land
H19-10-O	a landowner that leased his her land and delivered it to a lessee not only may demand the return of such land by way of possessory actions but also may demand the return of the land by way of actions on title based on landownership in cases where the land was usurped by a third party
H21-9-4	if person a who is the owner of a moveable and possesses it him herself enters into a sale contract with person b and simultaneously enters into a loan contract for use with person b as the use lender and person a as the lease borrower then person b acquires the possessory right for the moveable due to the manifestation of intention of person a to the effect that he she will thenceforward possess the thing on behalf of person b
H22-11-2	pledges on movable property do not take effect if there is no delivery and thus for that movable multiple pledges cannot be created
H22-11-5	if the possession of the pledgee of a pledge on movable property is stolen by a third party the pledgee can demand the return based on the pledge
H26-11-G	in a sale the ownership of the subject matter transfers at the time of formation of the contract in principle but the relevant parties may stipulate that the ownership is transferred at other time
H24-16-5	a revolving mortgagee after the principal is fixed may exercise his her revolving mortgage up to the maximum amount with respect to all fixed payments of principal as well as perioical payments including interest and compensation for damages resulting from failure to perform obligations that have fallen due in the most recent two years
H21-12-2	a right of retention is not established when a secured claim has not yet fallen due
H21-13-A	the statutory lien of a lessor of a building shall exist with movables furnished to that building by the lessee
H27-11-U	in cases where dominant land is co-owned by more than one person one of the co-owners of dominant land may renounce his her own share a servitude that exists on behalf of the land
H19-16-3	if a building existed on a mortgaged land at the time it was mortgaged even if the owner of that building did not have the right to possess the land which may be asserted against the mortgagee the mortgagee may not auction the building together with the land
H18-9-1	usufructuary rights are only established for real estate
H24-10-1	a bought the movable "a" from b and a aquired possessory right by constructive transfer however b is forcibly dispossessed the movable "a" by c in this case a may claim for the restoration of the movable "a" against c not only based on the ownership but also by bringing an action for recovery of possession
H25-14-A	a holder of statutory lien for the sales of the immovable property who has registration of such statutory lien may exercise statutory lien prior to mortgages regardless of the chronological order of the registraiton
H27-11-O	a servitude may not be established with respect to the land not neighboring a deminant land as a servient land
H25-13-5	if the amount of the obligations actually in existence after the principal is fixed exceeds the maximum amount of the revolving mortgage a person who created his her revolving mortgage to secure obligations of others may request the extinction of that revolving mortgage by tendering or depositing an amount equivalent to that maximum amount
H26-13-G	if the contractor refuses to deliver of the subject matter of work performed based on the right of retention that the secured claim is the claim of remuneration against the party ordering the work the running of extinctive prescription of the claim of remuneration shall not be preclude
H24-12-1	in cases where a have created the b 's supercify over a's land and registered such fact the supercify shall be extinguished if b acquires the ownership of a's land even if the supecify was the object of the mortgage of a third party
H23-10-3	a possessor is presumed to possess in good faith peacefully and in public but is not presumed to have intention to own
H24-16-4	if an inheritance of a revolving mortgagee commences before the principal is fixed the principal secured by a revolvoing mortgage shall be fixed at the time of the commencement of the inheritance unless there is the agreement between the heirs and the revolving mortgagor to success the revolving mortgage
H23-10-4	in cases where it is assumed due to the nature of the title that a possessor does not have the intention to own if the possessor commences possession under a new title with an intention to own from that time the nature of the possessor's possession changes with the intention to own
H23-13-E	in cases where a nominative claim where the obligee is an individual is the subject matter of a pledge to assert the establishment of the pledge against a third party other than the obligator of the claim that is a subject matter of the pledge the notification or acknowledgement using an instrument bearing a fixed date is required
H21-13-I	an obligee that has a general statutory lien may exercise the statutory lien concerning money that the obligor has received in payment as compensation for that thing owned
H18-9-2	statutory real rights granted by way of security exist but statutory usufructuary rights do not exist
H19-8-A	x who purchased a real estate p from decedent a before the commencement of inheritance may assert his ownership of p against y without registration if y who is the obligee of a's sole heir b seized p in subrogation to b after b's inheritance registration of p
H19-11-5	in a case where a b and c co-own a land d who has inherited a's share from a may assert his her acquisition of a's share against b and c without completing the registration
H21-12-3	a holder of a right of retention may not accept priority performance from the subject matter but may accept priority performance from fruits that derived from the subject matter
H18-32-5	a seller that cancelled a movable sale contract on the basis of duress can demand return of the movable based on its ownership from the person who bought the movable from the buyer prior to the cancellation without knowledge or any negligence
H25-8-4	if one of the co-owners of land acquires a servitude by prescription the other co-owners shall also acquire the same
H26-14-I	in case where b holds the mortgage ranked first and c holds the mortgage ranked second with respect to a building belonging to aeven if b purchases the building from a the mortgage ranked first shall not be extinguished
H21-8-A	an agent may even acquire a possessory right but since the effect of possession by the agent belongs to the principle the agent him herself may not acquire an individual possessory right for the thing possessed
H21-10-5	in cases where person a who owns land l subdivides the land into land m which is surrounded by other land and has no access to public roads and land n which is not so then sells land m to person b person b has the right-of-way to reach public roads only regarding land n
H19-13-I	statutory liens for employer-employee relationships secure salaries paid regularly but do not secure retirement payments that should be paid when the employee retires
