|W|	SIw	P	R	F1	Poids(w,t)	Classifieur	TrainSetType	Category
30	rf	1.0	0.16129032258064516	0.27777777777777773	logtfSIw * rf	J48	part-queries-with-paragraph_text	p2
30	rf	1.0	0.03225806451612903	0.0625	logtfSIw * rf	NBM	part-queries-with-paragraph_text	p2
30	rf	0.9375	0.4838709677419355	0.6382978723404255	logtfSIw * rf	NB	part-queries-with-paragraph_text	p2
30	rf	0.9411764705882353	0.5161290322580645	0.6666666666666666	logtfSIw * rf	KNN	part-queries-with-paragraph_text	p2
30	rf	1.0	0.03225806451612903	0.0625	logtfSIw * rf	SVM	part-queries-with-paragraph_text	p2
30	chi	0.84	0.6774193548387096	0.75	logtfSIw * chi	J48	part-queries-with-paragraph_text	p2
30	chi	0.8181818181818182	0.2903225806451613	0.4285714285714286	logtfSIw * chi	NBM	part-queries-with-paragraph_text	p2
30	chi	0.78125	0.8064516129032258	0.7936507936507936	logtfSIw * chi	NB	part-queries-with-paragraph_text	p2
30	chi	0.8125	0.8387096774193549	0.8253968253968254	logtfSIw * chi	KNN	part-queries-with-paragraph_text	p2
30	chi	0.8333333333333334	0.4838709677419355	0.6122448979591837	logtfSIw * chi	SVM	part-queries-with-paragraph_text	p2
30	ngl	0.84	0.6774193548387096	0.75	logtfSIw * ngl	J48	part-queries-with-paragraph_text	p2
30	ngl	1.0	0.03225806451612903	0.0625	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	p2
30	ngl	0.7878787878787878	0.8387096774193549	0.8125	logtfSIw * ngl	NB	part-queries-with-paragraph_text	p2
30	ngl	0.8387096774193549	0.8387096774193549	0.8387096774193549	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	p2
30	ngl	0.8235294117647058	0.45161290322580644	0.5833333333333333	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	p2
50	rf	1.0	0.16129032258064516	0.27777777777777773	logtfSIw * rf	J48	part-queries-with-paragraph_text	p2
50	rf	1.0	0.03225806451612903	0.0625	logtfSIw * rf	NBM	part-queries-with-paragraph_text	p2
50	rf	0.9166666666666666	0.7096774193548387	0.7999999999999999	logtfSIw * rf	NB	part-queries-with-paragraph_text	p2
50	rf	0.9166666666666666	0.7096774193548387	0.7999999999999999	logtfSIw * rf	KNN	part-queries-with-paragraph_text	p2
50	rf	1.0	0.03225806451612903	0.0625	logtfSIw * rf	SVM	part-queries-with-paragraph_text	p2
50	chi	0.84	0.6774193548387096	0.75	logtfSIw * chi	J48	part-queries-with-paragraph_text	p2
50	chi	0.7058823529411765	0.3870967741935484	0.5	logtfSIw * chi	NBM	part-queries-with-paragraph_text	p2
