|W|	SIw	P	R	F1	Poids(w,t)	Classifieur	TrainSetType	Category
30	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	J48	part-queries-with-paragraph_text	pI
30	rf	0.0	0.0	0.0	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pI
30	rf	1.0	0.4	0.5714285714285715	logtfSIw * rf	NB	part-queries-with-paragraph_text	pI
30	rf	1.0	0.4	0.5714285714285715	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pI
30	rf	0.0	0.0	0.0	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pI
30	chi	1.0	0.5	0.6666666666666666	logtfSIw * chi	J48	part-queries-with-paragraph_text	pI
30	chi	1.0	0.1	0.18181818181818182	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pI
30	chi	0.8125	0.65	0.7222222222222223	logtfSIw * chi	NB	part-queries-with-paragraph_text	pI
30	chi	0.8461538461538461	0.55	0.6666666666666667	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pI
30	chi	0.0	0.0	0.0	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pI
30	ngl	1.0	0.5	0.6666666666666666	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pI
30	ngl	1.0	0.1	0.18181818181818182	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pI
30	ngl	0.8125	0.65	0.7222222222222223	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pI
30	ngl	0.8461538461538461	0.55	0.6666666666666667	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pI
30	ngl	0.0	0.0	0.0	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pI
50	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	J48	part-queries-with-paragraph_text	pI
50	rf	0.0	0.0	0.0	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pI
50	rf	1.0	0.45	0.6206896551724138	logtfSIw * rf	NB	part-queries-with-paragraph_text	pI
50	rf	0.9	0.45	0.6	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pI
50	rf	0.0	0.0	0.0	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pI
50	chi	0.9166666666666666	0.55	0.6874999999999999	logtfSIw * chi	J48	part-queries-with-paragraph_text	pI
50	chi	1.0	0.15	0.2608695652173913	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pI
50	chi	0.6842105263157895	0.65	0.6666666666666667	logtfSIw * chi	NB	part-queries-with-paragraph_text	pI
50	chi	0.9166666666666666	0.55	0.6874999999999999	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pI
50	chi	0.0	0.0	0.0	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pI
50	ngl	0.9166666666666666	0.55	0.6874999999999999	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pI
50	ngl	1.0	0.15	0.2608695652173913	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pI
50	ngl	0.8	0.6	0.6857142857142857	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pI
50	ngl	0.9090909090909091	0.5	0.6451612903225806	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pI
50	ngl	0.0	0.0	0.0	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pI
60	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	J48	part-queries-with-paragraph_text	pI
60	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pI
60	rf	1.0	0.45	0.6206896551724138	logtfSIw * rf	NB	part-queries-with-paragraph_text	pI
60	rf	0.9	0.45	0.6	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pI
60	rf	0.0	0.0	0.0	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pI
60	chi	0.9166666666666666	0.55	0.6874999999999999	logtfSIw * chi	J48	part-queries-with-paragraph_text	pI
60	chi	1.0	0.15	0.2608695652173913	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pI
60	chi	0.6842105263157895	0.65	0.6666666666666667	logtfSIw * chi	NB	part-queries-with-paragraph_text	pI
60	chi	0.9090909090909091	0.5	0.6451612903225806	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pI
60	chi	1.0	0.1	0.18181818181818182	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pI
60	ngl	0.9166666666666666	0.55	0.6874999999999999	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pI
60	ngl	1.0	0.15	0.2608695652173913	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pI
60	ngl	0.6842105263157895	0.65	0.6666666666666667	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pI
60	ngl	0.9090909090909091	0.5	0.6451612903225806	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pI
60	ngl	0.0	0.0	0.0	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pI
70	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	J48	part-queries-with-paragraph_text	pI
70	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pI
70	rf	1.0	0.45	0.6206896551724138	logtfSIw * rf	NB	part-queries-with-paragraph_text	pI
70	rf	1.0	0.5	0.6666666666666666	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pI
70	rf	0.0	0.0	0.0	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pI
70	chi	0.9166666666666666	0.55	0.6874999999999999	logtfSIw * chi	J48	part-queries-with-paragraph_text	pI
70	chi	1.0	0.15	0.2608695652173913	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pI
70	chi	0.6842105263157895	0.65	0.6666666666666667	logtfSIw * chi	NB	part-queries-with-paragraph_text	pI
70	chi	0.9090909090909091	0.5	0.6451612903225806	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pI
70	chi	1.0	0.05	0.09523809523809523	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pI
70	ngl	0.9166666666666666	0.55	0.6874999999999999	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pI
70	ngl	1.0	0.15	0.2608695652173913	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pI
70	ngl	0.6842105263157895	0.65	0.6666666666666667	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pI
70	ngl	0.9090909090909091	0.5	0.6451612903225806	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pI
70	ngl	0.0	0.0	0.0	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pI
90	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	J48	part-queries-with-paragraph_text	pI
90	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pI
90	rf	1.0	0.45	0.6206896551724138	logtfSIw * rf	NB	part-queries-with-paragraph_text	pI
90	rf	1.0	0.5	0.6666666666666666	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pI
90	rf	0.0	0.0	0.0	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pI
90	chi	0.9	0.45	0.6	logtfSIw * chi	J48	part-queries-with-paragraph_text	pI
90	chi	1.0	0.15	0.2608695652173913	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pI
90	chi	0.65	0.65	0.65	logtfSIw * chi	NB	part-queries-with-paragraph_text	pI
90	chi	0.7692307692307693	0.5	0.6060606060606061	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pI
90	chi	1.0	0.05	0.09523809523809523	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pI
90	ngl	0.9	0.45	0.6	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pI
90	ngl	1.0	0.15	0.2608695652173913	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pI
90	ngl	0.65	0.65	0.65	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pI
90	ngl	0.7692307692307693	0.5	0.6060606060606061	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pI
90	ngl	1.0	0.05	0.09523809523809523	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pI
100	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	J48	part-queries-with-paragraph_text	pI
100	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pI
100	rf	1.0	0.45	0.6206896551724138	logtfSIw * rf	NB	part-queries-with-paragraph_text	pI
100	rf	1.0	0.5	0.6666666666666666	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pI
100	rf	0.0	0.0	0.0	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pI
100	chi	0.9	0.45	0.6	logtfSIw * chi	J48	part-queries-with-paragraph_text	pI
100	chi	1.0	0.15	0.2608695652173913	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pI
100	chi	0.6842105263157895	0.65	0.6666666666666667	logtfSIw * chi	NB	part-queries-with-paragraph_text	pI
100	chi	0.9	0.45	0.6	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pI
100	chi	0.0	0.0	0.0	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pI
100	ngl	0.9	0.45	0.6	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pI
100	ngl	1.0	0.15	0.2608695652173913	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pI
100	ngl	0.6842105263157895	0.65	0.6666666666666667	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pI
100	ngl	0.9	0.45	0.6	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pI
100	ngl	1.0	0.05	0.09523809523809523	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pI
120	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	J48	part-queries-with-paragraph_text	pI
120	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pI
120	rf	1.0	0.45	0.6206896551724138	logtfSIw * rf	NB	part-queries-with-paragraph_text	pI
120	rf	1.0	0.5	0.6666666666666666	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pI
120	rf	0.0	0.0	0.0	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pI
120	chi	0.8461538461538461	0.55	0.6666666666666667	logtfSIw * chi	J48	part-queries-with-paragraph_text	pI
120	chi	1.0	0.15	0.2608695652173913	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pI
120	chi	0.6842105263157895	0.65	0.6666666666666667	logtfSIw * chi	NB	part-queries-with-paragraph_text	pI
120	chi	0.75	0.45	0.5625000000000001	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pI
120	chi	1.0	0.1	0.18181818181818182	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pI
120	ngl	0.8461538461538461	0.55	0.6666666666666667	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pI
120	ngl	1.0	0.15	0.2608695652173913	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pI
120	ngl	0.6842105263157895	0.65	0.6666666666666667	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pI
120	ngl	0.75	0.45	0.5625000000000001	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pI
120	ngl	0.0	0.0	0.0	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pI
130	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	J48	part-queries-with-paragraph_text	pI
130	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pI
130	rf	1.0	0.45	0.6206896551724138	logtfSIw * rf	NB	part-queries-with-paragraph_text	pI
130	rf	1.0	0.5	0.6666666666666666	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pI
130	rf	0.0	0.0	0.0	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pI
130	chi	0.8461538461538461	0.55	0.6666666666666667	logtfSIw * chi	J48	part-queries-with-paragraph_text	pI
130	chi	1.0	0.15	0.2608695652173913	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pI
130	chi	0.6842105263157895	0.65	0.6666666666666667	logtfSIw * chi	NB	part-queries-with-paragraph_text	pI
130	chi	0.75	0.45	0.5625000000000001	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pI
130	chi	1.0	0.1	0.18181818181818182	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pI
130	ngl	0.8461538461538461	0.55	0.6666666666666667	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pI
130	ngl	1.0	0.15	0.2608695652173913	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pI
130	ngl	0.6842105263157895	0.65	0.6666666666666667	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pI
130	ngl	0.75	0.45	0.5625000000000001	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pI
130	ngl	1.0	0.05	0.09523809523809523	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pI
150	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	J48	part-queries-with-paragraph_text	pI
150	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pI
150	rf	1.0	0.45	0.6206896551724138	logtfSIw * rf	NB	part-queries-with-paragraph_text	pI
150	rf	1.0	0.5	0.6666666666666666	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pI
150	rf	0.0	0.0	0.0	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pI
150	chi	0.8461538461538461	0.55	0.6666666666666667	logtfSIw * chi	J48	part-queries-with-paragraph_text	pI
150	chi	1.0	0.15	0.2608695652173913	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pI
150	chi	0.6842105263157895	0.65	0.6666666666666667	logtfSIw * chi	NB	part-queries-with-paragraph_text	pI
150	chi	0.75	0.45	0.5625000000000001	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pI
150	chi	1.0	0.1	0.18181818181818182	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pI
150	ngl	0.8461538461538461	0.55	0.6666666666666667	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pI
150	ngl	1.0	0.15	0.2608695652173913	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pI
150	ngl	0.6842105263157895	0.65	0.6666666666666667	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pI
150	ngl	0.75	0.45	0.5625000000000001	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pI
150	ngl	1.0	0.05	0.09523809523809523	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pI
200	rf	0.8571428571428571	0.3	0.4444444444444444	logtfSIw * rf	J48	part-queries-with-paragraph_text	pI
200	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pI
200	rf	1.0	0.5	0.6666666666666666	logtfSIw * rf	NB	part-queries-with-paragraph_text	pI
200	rf	1.0	0.5	0.6666666666666666	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pI
200	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pI
200	chi	0.9090909090909091	0.5	0.6451612903225806	logtfSIw * chi	J48	part-queries-with-paragraph_text	pI
200	chi	1.0	0.15	0.2608695652173913	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pI
200	chi	0.7142857142857143	0.75	0.7317073170731706	logtfSIw * chi	NB	part-queries-with-paragraph_text	pI
200	chi	0.7692307692307693	0.5	0.6060606060606061	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pI
200	chi	1.0	0.1	0.18181818181818182	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pI
