H19-12-4	in cases where a contract that creates a pledge upon a claim that cannot be assigned due to its nature has been made such contract is void regardless of whether the pledgee acted in good or bad faith regarding said non-assignability
H21-12-1	a right of retention is not established if the obligee with a secured claim does not possess the subject matter and even if he she temporarily has possession the right shall not be established in cases where the possession commenced by means of a tortious act
H26-32-I	in case where a 30 years old and b 30 years old are a couple and they adopt e 4 years old who is child between c 42 years old and d 42 years old and they are not a couple c affiliated e and d has parental authority in relation to e in making a ruling of special adoption between the couple a and b and ethe legal relationship between e and his her natural parents c and e shall be extinguished
H24-11-1	any claim of a real right based on an ownership is the right derived from the ownership therefore only a claim of real right separated from an ownership may not be assigned but may be extinguished by an extinctive prescription
H23-13-I	the pledgee of claim x that is a nominative claim can directly collect claim x if the time of performance of the secured claim arrives along with the time of performance for the claim x that is the subject matter of the pledge
H21-10-2	assuming there is a need to maintain a distance of 50 centimeters or more from the boundary line when building a building after a year lapses from the time when such construction started or if that building has been completed the owner of the adjacent land may not demand changes to the building and may only claim damages
H24-2-1	with respect to contracts concluded by the person with limited capacity if the person with limited capacity and the statutory agent have the right to rescind the counterparty also has
H19-5-3	even if the possessor started the possession without knowledge and was not negligent of another's ownership of the property in cases where he she subsequently knew another person's ownership during possession the period of prescription shall be calculated as a possessor in bad faith
H25-11-O	if a superficiary fails to pay the rent for two or more consecutive years the landowner may demand the extinction of the superficies
H20-15-O	a person who exercises parental authority shall administrate his her child's assets with the care of a good manager
H22-8-I	when a tree or bamboo branch from neighboring land cross a boundary line the person can remove the branch him or herself but cannot have the owner of that tree or bamboosever the branch
H27-12-O	in cases where the hand luggage which a hotel guest brought to the hotel is not owned by him her the owner of the hotel may not exercise his her statutory lien with respect to the hand luggage even if he she believed without negligence that it was owned by the hotel guest
H21-1-2	if a minor after getting permission for carrying a business from his her statutory agent performs an act unrelated to the business without getting consent of the statutory agent that act may not be rescinded
H19-6-O	even while the holder of a right to retention continues the possession of the retained property extinctive prescription runs for its secured claim
H24-1-U	with respect to any act which requires the consent of the curator if the curator does not give consent in cases where the interest of the person under curatorship is unlikely to be prejudiced the person under curatorship may make a claim to the family court for a permission in lieu of the consent of the curator
H24-4-E	in cases where the principal ratifies the contract concluded by a person without authority of agency the contract shall be effective toward the future from the time of the rarification unless other intention is manifested
H27-31-A	a guardian may where any justifiable reason exists surrender his her office upon the permission of the family court
H21-13-E	a pledge creation contract that has immovable properties or movables as its objective shall take effect by delivering the subject matter but this transfer may be either a summary transfer or a transfer of possession by instruction
H18-15-5	since a revolving mortgage before the fixing of principal can be described as a right which dominates the value of the maximum amount detached from the secured claim it can be transferred in whole or in part but since the obligor and the secured claim may change approval must be obtained from the revolving mortgagor
H19-6-A	extinctive prescription for claims with a specified due date commences to run on the time of arrival of such time limit
H20-12-4	a right of retention and a pledge do not expire by just satisfying his her a portion of the secured claim due to their indivisibility but for a right of retention the obligor may demand the expiration of the right by offering appropriate collateral
H25-14-A	a holder of statutory lien for the sales of the immovable property who has registration of such statutory lien may exercise statutory lien prior to mortgages regardless of the chronological order of the registraiton
H24-4-I	the authority of agency shall be terminated when the agent is subject to an order for the commencement of guardianship
H24-6-A	in cases where it is already established conclusively at the time of the performance of the applicable juristic act that a certain condition will not be fulfilled if such condition is a condition subsequent such juristic act shall be unconditional on the other hand if such condition is a condition precedent such juristic act shall be void
H26-31-C	in the case where parents divorce before the birth of a child the family court shall derermine which parent shall at the request of the father or the mother have parent authority
H26-30-1	in the case where a and b married and adopted the surname of a and they divorced when their child c was 18 years old if a and b agreed that b shall have parental authority with respect to c at the time of their divorce and b reverted to the surname used before marriagec who is minor must obtain the family court's permission in order to take b's surname
H27-32-I	a bankrupt may not become a guardian
H27-12-E	in cases where a pledge is created with respect to the subject matter of the statutory lien for sale of movables the statutory lien for sale of movables shall prevail over the pledge
H22-10-O	even if there is an interruption of prescription in favor of one co-owner of dominant land due to factors of the other co-owners such extinctive prescription proceeds
H19-7-2	extended parts of the building shall be regarded as appurtenance
H22-11-1	a pledgee can sub-pledge a thing pledged without the approval of the owner of the thing pledged
H25-16-4	a mortgage shall extend to the buildings on the mortgaged land as long as the mortgage provides otherwise
H22-4-A	for a contract executed by a person under curatorship although the other party issue a notice to the person under curatorship which demands by establishing a certain period which is one month or more that he she should obtain the ratification of his her curator the person under curatorship fails to issue within the applicable period from that point on that other party cannot rescind the contract for the reason that the contract was executed by the person under curatorship
H26-36-I	in cases where a third party acquirer of mortgaged immovable properties has incurred ordinary necessary expenses with respect to the mortgaged immovable properties even if he she has acquired fruitshe she shall be entitled to obtain reimbursement of the same out of the proceeds of the mortgaged immovable properties prior to other obligees
H26-14-I	in case where b holds the mortgage ranked first and c holds the mortgage ranked second with respect to a building belonging to aeven if b purchases the building from a the mortgage ranked first shall not be extinguished
H24-10-1	a bought the movable "a" from b and a aquired possessory right by constructive transfer however b is forcibly dispossessed the movable "a" by c in this case a may claim for the restoration of the movable "a" against c not only based on the ownership but also by bringing an action for recovery of possession
H24-15-3	a primary obligor may not make a claim for the extinction of a mortgage however a jointly and severally liable guarantor with respect to the obligation may make that claim
H26-33-A	in cases where a decedent's child has died before the commencement of inheritance the child of the decedent's child shall be an heir as an heir per stirpes provided however that the child of the decedent's child shall not be an heir as an heir per stirpes in cases where a decedent's child has lost the right to inheritance by causes of disqualification of heir or disinheritance of presumed heir referring to a person who would otherwise become an heir upon the commencement of inheritance
H21-9-1	after person a who is the owner and depositor of a moveable orders person b who is the depositary to thenceforward possess the moveable on behalf of third party person c and person c consented thereto person c shall acquire the possessory right for the moveable
H26-30-3	in the case where a and b married and adopted the surname of a and they divorced when their child c was 18 years old provided that a and b agreed that b shall have parental authority with respect to c at the time of their divorce and that b married d after the divorce from a and adopted the surname of d c who is minor may take the surname of d only in the case where d adopted c as his her child
H21-3-1	a possessor in good faith shall acquire fruits derived from thing in his her possession but a person in possession thing through duress shall be obliged to return fruits and if the fruits have already been consumed he she shall be obliged to reimburse the cost of the fruits
H26-37-A	a general incorporated association shall have rights and assume duties to the extent of the purpose provided in the applicable articles of incorporation subject to the applicable provisions of the laws and regulations
H18-15-1	even if procedures for auctions petitioned by a lower rank security interest holder have begun since the first rank -revolving mortgagee has priority over the lower rank security interest holder regarding selection of the timing of the auction the first rank revolving mortgagee can stop the auction procedures without fixing the principal
H26-30-2	in the case where a and b married and adopted the surname of a and they divorced when their child c was 18 years old if because a and b agreed that b shall have parental authority with respect to c at the time of their divorce and that b reverted to the surname used before marriage c took the surname of b by application to the case where a child's surname differs from that of his her father or mother so that c may revert to using a's surname within the statutory period he she does not have to obtain the family court's permission
H22-1-I	if the other party of a manifestation of intention was a minor when the manifestation of intention was received that manifestation of intention does not take effect
H24-16-1	even if claims on negotigable instruments or checks are specified as claims that are to be secured by revolving mortgage any claim on negotigable instruments or checks which issued by a third pary and endorsed by the obligor may not be treated as claims that are to be secured by revolving mortgage
H26-12-G	even in cases where a building must be constructed 50 centimeters or more distant away from the boundary line the owner of the neighboring land may not have construction suspended or changed when a person attempts to construct a building in contact with the boundary
H26-10-3	a library of a university a has a book "p" and a professor b borrowes the same and uses his her office in the same campus in the case where b left "p" in a train on the way home and f found and possesses the same b may claim for the restoration of "p" by bringing an action for recovery of possession against f
