H21-24-I	since a mandate contract is a consensual contract it shall be effective if there is an oral agreement however in order to assert the effect of a mandate contract to a third party it must be documented in writing
H26-22-1	gifts is unilateral juristic act formed by the manifestation to give own property to the other party gratuitously
H22-28-3	in cases where an obligor mistakenly believes that a time of performance has arrived due to a mistake and has tended anything as performance of his her own obligation that has not yet fallen due the obligor cannot demand the return of the thing tendered
H20-19-U	the obligor may not recover the deposited property without consent of the obligee after performing performance deposit
H22-26-E	even in cases where costs incurred by a mandatary in order to administrate the mandated business with the care of a good manager are later deemed as a result not to be necessary the mandatary can demand reimbursement of those fees to the mandator
H20-26-1	an employment contract is a contract for value and the timing of payment of remuneration shall be deferred payment in principle but a special provision for advance payment may be entered
H21-25-3	a person who commences the management of a business for another person without being obliged to do so may not demand compensation from the principal even if he she expends useful expenses for the principal when that management is against the intention of the principal
H24-24-U	with respect to the contract for sales of a land the obligation that the seller registers the transfer of ownership and the buyer's obligation of payment shall have the relationship of simutaneous performances
H26-27-C	in cases where a found a collared dog whose owner is unknown and took care of it for the unknown owner if a took the dog to his her house and takes care of it it shall be sufficient if he she takes care of it exercising care identical to that he she exercises for his her own property
H23-1-3	in cases where the person who makes the manifestation believes a fictitious explanation of the counterparty and makes a manifestation of intention if there was no intention of fraud for the counterparty the person who makes the manifestation will not be rescued under civil code
H24-27-I	the party ordering work may cancel the contract at any time whilst the contractor has not completed the work by compensating any damages
H22-28-1	the beneficiary in bad faith of unjust enrichment must return the benefit received together with interest and if any damages still remain the beneficiary shall be liable to compensate for the same
H26-22-3	until the completion of the delivery of a specific thing the donor shall assume a duty to take custody of such property with due care of a prudent manager
H20-22-1	the plaintiff must assert that he she entered into a sales contract with the defendant as the cause for action but does not need to assert that he she owned the subject matter of the sales contract when he she entered into it
H26-23-G	when the buyer delivers earnest money to the sellerif the seller cancels the contract by reimbursing twice its amountit shall be sufficient if he she demands the acceptance thereof by giving an oral notice that he she reimburses twice the amount of the earnest money
H26-23-A	even if the delivery of the subject matter of the sale is received prior to the purchase money the payment must be made at the place of delivery
H27-28-U	a person who employs others for a certain business shall be liable for damages inflicted on a third party by his her employees with respect to the execution of that business and this shall apply even if the employees have the sufficient financial resources to compensate
H27-23-A	in the cases where a lessor is the owner of the subject matter in a contract for lease the ownership of the subject matter shall not be transfered to the lessee on the other hand in the cases where a lender is the owner of the subject matter in a contract for loan for consumption the ownership of the subject matter shall be transfered to the borrower
H25-29-U	if costs will be incurred in administering the mandated business the mandator must at the request of the mandatary pay an advance for those costs
H18-28-2	in cases where a contract of revolving guarantee the principal obligation of which is payment of purchase money upon a contract of continuous sales is made if the maximum amount for the amount of the principal any penalty and damages in connection with such principal obligation and all other charges incidental to such obligation is not stipulated the contract of revolving guarantee shall not be effective
H27-23-U	both the timing of payment of rent in a contract for lease and the timing of payment of interest in a contract for loan for consumption may freely be determined by the agreement of the parties
H20-28-A	if a plaintiff files against a person with the legal obligation to supervise a person without capacity to assume liability as a defendant and demands compensation of damages based on the liability of the person with the obligation to supervise a person without capacity to assume liability in civil code article 714 paragraph 1 the defendant may assert that he she did not neglect his her obligation to supervise as an affirmative defense
H22-22-2	in cases where a gift of the specified thing is made without the donee bearing the responsibility if the donor made the gift without knowing that the subject matter has a defect the donor shall not assume a warranty for the defect
H20-19-O	a person other than the obligor may not do performance deposit
H23-17-1	if the obligor of a monetary debt cannot pay on the time of performance due to force majeure the obligor of the monetary debt does not bear responsibility of delay in performance
H26-27-A	in cases where a found a collared dog whose owner is unknown and took care of it for the unknown owner if a took the dog to his her house and takes care of it he she may not demand remuneration from the owner of the dog
H24-7-E	in cases where a and b have a joint and several obligation which a bears the portion of all the extinctive prescription of a's obligation shall not be nullified even if b acknowledge b's obligation to the obligee therefore b also shall be relieved of the obligation if the extinctive prescription is completed
H20-18-E	when the principal obligation has fallen due a person that made a guarantee after receiving consignment of the principal obligor may exercise the right to obtain reimbursement vis-a-vis the principal obligor even before making his her own payment
H19-30-5	a manager must report the progress and results to the principal without delay upon completion of the management of business
H26-20-2	if the obligor is unable to ascertain the obligeethe obligor may deposit the subject-matter of the performance with an official deposit regardless of any negligence on the part of the obligor
H19-15-I	in cases where the registration for the creation of a mortgage has been made for monetary loan claims but the principal was not delivered in the end the mortgagor may demand cancellation of such registration due to the non-existence of secured claim
H22-5-I	a time limit can be added to the manifestation of intention of offset but conditions cannot be added
H27-26-I	even if the contractor agrees to a special agreement to the effect that the contractor will not be liable for the warranty against defects the contractor may not be released from the contractor's liability with respect to defects in the subject matter of work performed and delivered the contractor knew and did not disclose
H27-35-E	in cases where with respect to the right to cancel based on the failure to perform the other party issues a notice of demand to the holder of the right to cancel specifying a reasonable period to the effect that the holder of the right to cancel is to give a definite answer as to whether or not the right will be exercised within that period if no notice of cancellation is received within that period the right to cancel shall be extinguished
H20-27-E	if a partner dies his her heir shall assume his her position
H26-37-G	the building lease when registered shall also be effective against a person who subsequently acquires real rights with respect to the building even if the building is not delivered
H24-23-3	when one joint and several obligor c performs his her obligation without giving to the other joint and several obligor a a notice if a may has a claim vis-a-vis the obligee b and may set it off a may refuse the reimbursement from c
H22-27-4	in a lawsuit demanding the advance payment of costs by a mandatary based on the contract of mandate proof must be demonstrated with objects of the claim of the conclusion of the contract of mandate and the determination of remuneration
H27-20-E	if any claim arises from a tortious act the relevant obligee may assert the set-off against the obligor
H27-28-I	a person who has temporarily invited with negligence the condition lacking the capacity to appreciate his her liability for his her own act shall be liable to compensate for the damages he she inflicted on others during that period
H24-28-1	if the parties do not define the time of return a borrower may terminate a money loan for consumption without charging any interest by returning the borrowed money at any time
H26-16-E	in cases where the subject of sale wine is specified only with reference to a type and the delivery of wine is effected at the domicile of the buyer in case the buyer refuses to accept the performance even though the seller brings wine to the domicile of the buyer with the main purport of the obligationif the wine has been lost due to negligence of the buyer after that the buyer shall not be relieved of the obligation of payment of purchase money
H25-21-O	in the case where there is a guarantor on an obligation and a mortgage is taken out on land x which an obligor owns for the same obligation if the guarantor performed the guarantee obligation after an obligee wavied the mortgage the guarantee may exercise the mortgage as it is not wavied
H26-16-C	in cases where the subject of sale wine is specified only with reference to a type and the delivery of wine is effected at the domicile of the buyer in case the buyer refuses to accept the performance even though the seller brings wine to the domicile of the buyer with the main purport of the obligationif the wine has been lost due to destruction of warehouse by arson by a third party after that the seller shall be relieved of the obligation of delivery of wine
H26-37-C	where a juridical person has assigned a nominative claim for payment of money even if a registration of assignment is made in a claim assignment registration file with regard to the assignment of the claim the assignment of the claim may not be asserted against a third party other than the obligor unless the assignor gives a notice thereof to the obligor or the obligor has acknowledged the same using an instrument bearing a fixed date
H24-8-5	an obligee b against a may demand the court against d who succeeds to benefits as defendant to rescind the gift from a to c by the reason of fraudulent act if d knew at the time of the gift the fact that b is to be prejudiced
H27-21-O	in cases where a claim in a bilateral contract is assigned to a third party and the obligor didn't raise his her objection without delay after the assignor gives a notice thereof to the obligor the obligor may not raise the defense for simultaneous performance against the request for the performance by the assignee of the claim
H20-27-A	if the execution of business for a partnership is mandated the operating officers shall be selected from among the partners
H27-22-3	in the contract for work for the purpose of constructing a building even if the building under construction has been lost due to reasons not attributable to either party the contractor may not claim the entire remuneration from the party ordering the work unless he she contructs any new builidng and complete the work
H20-28-O	if a plaintiff files against a land owner as a defendant and demands compensation of damages based on the liability of owner of structure on land proviso in civil code article 717 paragraph 1 the defendant may not assert that he she exercised his her required duty of care in order to prevent the occurrence of the results as an affirmative defense but he she may assert his her own doli incapax as an affirmative defense
H24-27-A	if the contract for work terminates during performance due to reasons not attributable to the contractor he she may demand remuneration in proportion to the performance already completed
H19-26-O	regardless of the other party's knowledge the grounds of termination of mandate may not be asserted against the other party unless the other party was notified of the same
H21-3-2	a seller may collect fruits until a delivery even if the delivery of the subject matter is delayed
H22-26-U	if the mandatary received monies and other things during the course of administrating the mandated bushiness the mandatary must immediately deliver them to the mandator
H26-18-2	in cases where b c and d bears a joint and several obligation of 3 million yen to a and where each of them have the equally proportionate obligations even if b effected the set-off intended to invoke his her monetary claim against a the set-off shall be void vis-a-vis c and d
H23-25-U	in cases where the subject of a sale has a latent defect and the buyer can cancel the contract due to that reason along with the cancellation of the contract the buyer can demand the seller to compensate damages
H22-14-I	even if the amount of the claim was specified in the currency of a foreign state the obligor can make the payment in the legal currency of japan instead of currency of the foreign state
H19-30-1	even if contrary to the intentions of the principal management of business may be established and in that case the manager may request reimbursement for expenses incurred for the principal solely to the extent such principal actually enriched
H27-22-1	in the case of a contract for sale of a specified thing if the performance of the delivery has become impossible due to reason attributable to the seller the effect of the contract of sale shall be lost by operation of law then the buyer shall be relieved of liability for payment of the purchase money
H27-36-U	if a person who has become a guarantor without the entrustment of the principal obligor has performed the obligation the principal obligor must pay the statutory interest for the period from the day of that performance
H21-20-2	if an obligor acknowledges assignment of a claim vis-a-vis either the assigner or the assignee the assignee may raise the assignment as a defense against the obligor
