|W|	SIw	P	R	F1	Poids(w,t)	Classifieur	TrainSetType	Category
30	rf	1.0	0.14814814814814814	0.25806451612903225	logtfSIw * rf	J48	part-queries-with-paragraph_text	pIII
30	rf	1.0	0.05555555555555555	0.10526315789473684	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pIII
30	rf	0.9333333333333333	0.25925925925925924	0.40579710144927533	logtfSIw * rf	NB	part-queries-with-paragraph_text	pIII
30	rf	0.8333333333333334	0.2777777777777778	0.4166666666666667	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pIII
30	rf	1.0	0.1111111111111111	0.19999999999999998	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pIII
30	chi	0.7551020408163265	0.6851851851851852	0.7184466019417475	logtfSIw * chi	J48	part-queries-with-paragraph_text	pIII
30	chi	0.8333333333333334	0.37037037037037035	0.5128205128205128	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pIII
30	chi	0.7407407407407407	0.7407407407407407	0.7407407407407407	logtfSIw * chi	NB	part-queries-with-paragraph_text	pIII
30	chi	0.75	0.6111111111111112	0.6734693877551021	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pIII
30	chi	0.8333333333333334	0.5555555555555556	0.6666666666666667	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pIII
30	ngl	0.7777777777777778	0.6481481481481481	0.707070707070707	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pIII
30	ngl	0.9090909090909091	0.18518518518518517	0.30769230769230765	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pIII
30	ngl	0.696969696969697	0.42592592592592593	0.5287356321839082	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pIII
30	ngl	0.7555555555555555	0.6296296296296297	0.6868686868686867	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pIII
30	ngl	0.84375	0.5	0.627906976744186	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pIII
50	rf	0.8461538461538461	0.2037037037037037	0.3283582089552239	logtfSIw * rf	J48	part-queries-with-paragraph_text	pIII
50	rf	1.0	0.09259259259259259	0.1694915254237288	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pIII
50	rf	0.8148148148148148	0.4074074074074074	0.5432098765432098	logtfSIw * rf	NB	part-queries-with-paragraph_text	pIII
50	rf	0.8529411764705882	0.5370370370370371	0.6590909090909091	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pIII
50	rf	1.0	0.16666666666666666	0.2857142857142857	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pIII
50	chi	0.8444444444444444	0.7037037037037037	0.7676767676767676	logtfSIw * chi	J48	part-queries-with-paragraph_text	pIII
50	chi	0.8064516129032258	0.46296296296296297	0.5882352941176471	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pIII
50	chi	0.7297297297297297	0.5	0.5934065934065933	logtfSIw * chi	NB	part-queries-with-paragraph_text	pIII
50	chi	0.7872340425531915	0.6851851851851852	0.7326732673267328	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pIII
50	chi	0.84375	0.5	0.627906976744186	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pIII
50	ngl	0.8536585365853658	0.6481481481481481	0.7368421052631579	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pIII
50	ngl	0.8666666666666667	0.24074074074074073	0.37681159420289856	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pIII
50	ngl	0.7741935483870968	0.4444444444444444	0.5647058823529412	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pIII
50	ngl	0.8	0.6666666666666666	0.7272727272727272	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pIII
50	ngl	0.84375	0.5	0.627906976744186	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pIII
60	rf	0.8461538461538461	0.2037037037037037	0.3283582089552239	logtfSIw * rf	J48	part-queries-with-paragraph_text	pIII
60	rf	1.0	0.1111111111111111	0.19999999999999998	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pIII
60	rf	0.8461538461538461	0.4074074074074074	0.5499999999999999	logtfSIw * rf	NB	part-queries-with-paragraph_text	pIII
60	rf	0.8571428571428571	0.5555555555555556	0.6741573033707865	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pIII
60	rf	1.0	0.16666666666666666	0.2857142857142857	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pIII
60	chi	0.9024390243902439	0.6851851851851852	0.7789473684210526	logtfSIw * chi	J48	part-queries-with-paragraph_text	pIII
60	chi	0.8064516129032258	0.46296296296296297	0.5882352941176471	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pIII
60	chi	0.7878787878787878	0.48148148148148145	0.5977011494252873	logtfSIw * chi	NB	part-queries-with-paragraph_text	pIII
60	chi	0.7708333333333334	0.6851851851851852	0.7254901960784315	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pIII
60	chi	0.84375	0.5	0.627906976744186	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pIII
60	ngl	0.8222222222222222	0.6851851851851852	0.7474747474747475	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pIII
60	ngl	0.9285714285714286	0.24074074074074073	0.3823529411764706	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pIII
60	ngl	0.7111111111111111	0.5925925925925926	0.6464646464646464	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pIII
60	ngl	0.8085106382978723	0.7037037037037037	0.7524752475247524	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pIII
60	ngl	0.8529411764705882	0.5370370370370371	0.6590909090909091	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pIII
70	rf	0.8461538461538461	0.2037037037037037	0.3283582089552239	logtfSIw * rf	J48	part-queries-with-paragraph_text	pIII
70	rf	1.0	0.1111111111111111	0.19999999999999998	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pIII
70	rf	0.8518518518518519	0.42592592592592593	0.5679012345679013	logtfSIw * rf	NB	part-queries-with-paragraph_text	pIII
70	rf	0.8571428571428571	0.5555555555555556	0.6741573033707865	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pIII
70	rf	1.0	0.16666666666666666	0.2857142857142857	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pIII
70	chi	0.8125	0.7222222222222222	0.7647058823529411	logtfSIw * chi	J48	part-queries-with-paragraph_text	pIII
70	chi	0.8235294117647058	0.5185185185185185	0.6363636363636364	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pIII
70	chi	0.7555555555555555	0.6296296296296297	0.6868686868686867	logtfSIw * chi	NB	part-queries-with-paragraph_text	pIII
70	chi	0.78	0.7222222222222222	0.7500000000000001	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pIII
70	chi	0.8571428571428571	0.5555555555555556	0.6741573033707865	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pIII
70	ngl	0.8333333333333334	0.6481481481481481	0.7291666666666669	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pIII
70	ngl	0.9375	0.2777777777777778	0.42857142857142866	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pIII
70	ngl	0.7083333333333334	0.6296296296296297	0.6666666666666667	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pIII
70	ngl	0.8636363636363636	0.7037037037037037	0.7755102040816326	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pIII
