H26-22-2	gifts not in writing may also be revoked with respect to any portion of the gift for which performance has been completed
H25-21-E	in the case where there is a guarantor on an obligation and a mortgage is taken out on land x which a third party mortgagor owns for the same obligation if the guarantor performed and extinguished the guarantee obligation he she exercise the mortgage for the full amount of the right to reimbursement to an obligor
H20-12-2	since a pledge differs from a right of retention as a right to contracted collateral if there is a contract then a pledge may be established by a person acting as an agent allowing the pledgor to possess the collateral
H18-29-4	in a demand for compensation based on delayed performance of loan claim if person y gives proof that the delayed performance is not based on the reasons attributable to him or herself person y shall be relieved of the liability
H23-5-2	if a person promises in a contract that he or she will tender a certain performance to a third party other than the counterparty in cases where this is rescinded due to fraud of the counterparty if manifestation of intention of profit is already made by the third party the rescission is made by the manifestation of intention to the third party
H24-10-3	a bought the movable "a" which he she had borrowed and possessed from b in such case a may not asserted against b to aquire the ownership of the movable "a" unless a returns it to b and b delivers again it to a in actual
H23-10-2	if the possession of an item is forcibly dispossessed by the possessor even in cases where the possession before the dispossession was performed with the intention to own and in cases without intention to own the possessor can demand the return of the item based on action for the recovery of possession
H27-6-1	in cases where an obligor who is a person under curatorship acknowledge the obligation without the consent of his her curator the prescription of the claim shall not be nullified
H24-30-3	in cases where a claims purchase money of movables in a lawsuit a shall prove that a tendered the delivery of the subject matter as revived cause of action
H24-4-O	a privately appointed agent shall not be responsible vis-a-vis the principal for the appointment and supervision of such sub-agent if it appointed the sub-agent in accordance with the nomination by the principal provided however that this shall not apply to the cases where the agent knows that the sub-agent is untrustworthy and fails to notify the principal thereof or to dismiss the sub-agent
H22-26-E	even in cases where costs incurred by a mandatary in order to administrate the mandated business with the care of a good manager are later deemed as a result not to be necessary the mandatary can demand reimbursement of those fees to the mandator
H25-3-3	in cases where any claim which was extinguished by a prescription had been suitable for set-off prior to such extinguishment the relevant obligee may effect the set-off
H27-15-I	even if the parties makes an agreement that the compensation for damages will be paid by any thing which is not money the agreement shall be void
H26-25-4	the pre-contract of a loan for consumption shall not lose its effect if a ruling for the commencement of bankruptcy procedures is subsequently made against the borrower
H26-19-C	in cases where the contract of guarantee between c and b is concluded with respect to monetary debt of a against b in the case a is a minor and assumed the obligation against b without consent of the legal representative c was aware at the time of entering into a contract gurantee of such fact c shall be presumed to have assumed an independent obligation of the same subject in the event of rescission of the obligation of a
H23-2-I	in cases where against a demand of whether or not to ratify an act of a person with limited capacity a statutory agent issues notification of refusal to ratify within the specified period and it arrives after the lapse of the period it is deemed as having been ratified
H24-16-4	if an inheritance of a revolving mortgagee commences before the principal is fixed the principal secured by a revolvoing mortgage shall be fixed at the time of the commencement of the inheritance unless there is the agreement between the heirs and the revolving mortgagor to success the revolving mortgage
H26-22-4	if there is any defect in the specific gift the donor shall assume a warranty identical to that borne by the seller
H18-2-1	in cases where a person plans to prevent crime in their own house by fixing the fence of a neighboring house that person is found as having intent towards the other person
H25-13-2	holders of general statutory liens cannot be paid out of immovable properties unless they are first paid out of property other than immovable properties and a claim that is not satisfied remains unless cases where the proceeds of immovable properties are distributed prior to the proceeds of assets other than immovable properties
H21-13-A	the statutory lien of a lessor of a building shall exist with movables furnished to that building by the lessee
H24-22-4	in cases where the obligor should pay the principal as well as the applicable interest and expenses with respect to one or more obligation s if the person who must perform tenders any performance which is not sufficient to extinguish such obligation in its entirety such performance shall be allocated first to the expense and then to the interest and principal in this order
H22-14-A	the obligor of a claim whose subject is the delivery of any specified things carries the duty to preserve that thing until the delivery is performed with the same care he she would exercise over his her own property
H18-25-E	a person who has manifested to a third party that he she has granted certain authority of agency to other person s shall be relieved of his her liability of apparent authority if there is any proof that the third party knew or was negligent that the other person had not been granted authority of agency
H22-27-3	in a lawsuit demanding the return of a subject matter based on the completion of a lease contract of movables proof must be demonstrated with objects of the claim of the conclusion of the lease contract the delivery of the subject matter based on the contract and the facts that prove the completion of the lease contract
H22-26-I	if the mandatary has incurred costs found to be necessary for the administration of the mandated business the mandatary can claim the reimbursement of those costs from the mandator and any interest on the same from the day the costs were incurred
H26-25-5	the borrower may return borrowed things ealier than the time specified in the contract however that may not prejudice the interestof the lender
H20-28-O	if a plaintiff files against a land owner as a defendant and demands compensation of damages based on the liability of owner of structure on land proviso in civil code article 717 paragraph 1 the defendant may not assert that he she exercised his her required duty of care in order to prevent the occurrence of the results as an affirmative defense but he she may assert his her own doli incapax as an affirmative defense
H24-30-2	in the cases where delivery of the subject matter of a contract for work between a and b is required if a contractor a intends to claim remuneration against a party ordering b a shall prove that the subject matter of a contract has been delivered as revived cause of action
H25-11-A	superficies may not be the subject matter of a mortgage
H25-16-4	a mortgage shall extend to the buildings on the mortgaged land as long as the mortgage provides otherwise
H26-11-A	the order of priority of mortgages may be changed only with the agreement of all mortgagees provided however the changes may not be asserted against third parties unless registered
H24-17-2	even if there is a special provision between pledgee and pledgor that the pledge does not secure the interest the pledge of movables shall secure such interest
H27-6-2	in cases where the obligee assigned a claim to any third party before the lapse of the period of prescription if the obligor has acknowledged the assignment of a claim to the assignee the prescription of the claim shall be nullified
