H20-15-O	a person who exercises parental authority shall administrate his her child's assets with the care of a good manager
H26-32-C	in case where a 30 years old and b 30 years old are a couple and they adopt e 4 years old who is child between c 42 years old and d 42 years old and they are not a couple c affiliated e and d has parental authority in relation to e in making a ruling of special adoption between the couple a and b and eboth a and b must become adoptive parents if b does not become an adoptive parent a may not be an adoptive parent
H27-32-U	if a person who become subject to the ruling of commencement of guardianship has a spouse the spouse will assume his her guardian of an adult except in the case where he she is incapable of exercising the duties of a guardian of an adult
H27-31-E	if there is no person with parental authority over a minor as a result of a ruling of suspension of parental authority guardianship shall commence
H26-32-I	in case where a 30 years old and b 30 years old are a couple and they adopt e 4 years old who is child between c 42 years old and d 42 years old and they are not a couple c affiliated e and d has parental authority in relation to e in making a ruling of special adoption between the couple a and b and ethe legal relationship between e and his her natural parents c and e shall be extinguished
H27-31-I	an adopted child excluding specially adopted child what is called a regular adopted child shall be subject to the parental authority of his her natural parents and adoptive parents
H26-30-2	in the case where a and b married and adopted the surname of a and they divorced when their child c was 18 years old if because a and b agreed that b shall have parental authority with respect to c at the time of their divorce and that b reverted to the surname used before marriage c took the surname of b by application to the case where a child's surname differs from that of his her father or mother so that c may revert to using a's surname within the statutory period he she does not have to obtain the family court's permission
H26-30-4	in the case where a and b married and adopted the surname of a and they divorced when their child c was 18 years old provided that c was married to e and used e's surname at the time of a and b's divorceeven if f subsequently adopts c as his her child c may not take f's surname
H27-29-U	in cases where a child between a couple during marriage is a minor if parents divorce by agreement they may agree upon which parent shall have parental authority in relation to a child without obtaining the permission of the family court
H26-31-E	if there are multiple guardians of a minor in principle they shall exercise their authority jointly but the family court may determine ex officio that some of the guardians should only exercise their authority regarding property individually
H26-30-1	in the case where a and b married and adopted the surname of a and they divorced when their child c was 18 years old if a and b agreed that b shall have parental authority with respect to c at the time of their divorce and b reverted to the surname used before marriagec who is minor must obtain the family court's permission in order to take b's surname
H27-32-E	irrespective of a gurdianship of an adult or a gurdianship of a minor the family court may appoint two or more guardian and determine ex officio that the guardians should exercise authority according to a division of labor
H26-32-G	in case where a 30 years old and b 30 years old are a couple and they adopt e 4 years old who is child between c 42 years old and d 42 years old and they are not a couple c affiliated e and d has parental authority in relation to e in case where the couple a and b adopt ethe legal relationship between e and d shall continue but the legal relationship between c and e shall be extinguished
H27-29-A	the surname of a husband or wife who has taken a new name by marriage shall revert to the surname used before marriage by divorce or the death his her spouse however he she may use the surname he she used at the time of dissolution of his her previous marriage by notification within the statutory period
H27-29-O	in the case where a husband and wife divorce the relationship between relatives by affinity shall come to an end however in the case where a spouse has died only if the surviving spouse indicates an intention to end the relationship between relatives by affinity the relationship shall come to an end
H26-1-A	if there is a guardian of a minor the minor shall obtain the consent of his her guardian of minor to marry
H26-31-A	if a child's interests are harmed due to difficulty or inadequate in the exercise of parental authority by his her father or mother the family court may make a ruling of suspension of parental authority with regard to the father or mother without determining the period
H27-31-U	if parents agree upon which parent shall have parental authority in relation to a child at the time of divorce they may agree that the other parent shall have parental authority
H20-3-4	assuming cases where a making an order for commencement of assistance has been handed down it does not necessarily mean that the assistant naturally grants authority of representation
H27-31-A	a guardian may where any justifiable reason exists surrender his her office upon the permission of the family court
