H21-5-4	assuming a contract is void due to a mistake after the person making the manifestation ratifies it knowing that such act is void the contract shall become effective retroactively to the time of the act
H19-7-2	extended parts of the building shall be regarded as appurtenance
H18-9-2	statutory real rights granted by way of security exist but statutory usufructuary rights do not exist
H27-36-O	in cases the obligor delays the payment of interest corresponding to one year or more and if the obligor does not pay such interest notwithstanding the demand by the obligee the obligee may incorporate such interest into the principal
H27-36-E	in cases where a seller canceled the contract for sale based on the failure to perform the obligation after he she received the purchase money in part if the money which the seller received as the purchase money in part are to be refunded interest must accrue from the time of the receipt of that money
H26-1-I	the ruling of commencement of assistance at the request of any person other than the person in question shall require the consent of the person in question
H24-12-5	in cases where b has the superficy over a 's land and registered such fact and erected a building on a's land to lease to c the supecify shall not be extinguished even if b acquires the ownership of a's land
H19-11-3	in a case where a bought a registered building owned by b and subsequently that building's ownership preservation registration was made in b's name if b sold the building to c and registered the transfer a may not asset his her acquisition of ownership of that building
H26-36-C	even in cases where a possesor paid ordinary necessary expenses with respect to thing in his her possessionhe she may not have the person recovering the thing reimburse them if the possessor has acquired fruits
H19-6-O	even while the holder of a right to retention continues the possession of the retained property extinctive prescription runs for its secured claim
H22-14-O	if the subject of the claim is to be identified by way of choice among two performances if one of the performances becomes impossible in the future not due to fault of persons involved that do not possess the right to choose then the subject of the claim is identified as the other performance
H22-17-4	if the mandatary suffer any loss due to the administration of the mandated business s without negligence in the mandatary he she can claimcompensation for the loss from the mandator
H18-1-1	a special provision that releases warranty can be made but in that situation when there are rights that the seller establishes on his her own for a third party the seller is not released of warranty
H20-26-2	a contract for work is a contract for value and when there is a need to transfer the subject matter the renumeration must be paid simultaneously with delivery and when there is no need to deliver a thing it must be paid simultaneously with the completion of work
H24-16-5	a revolving mortgagee after the principal is fixed may exercise his her revolving mortgage up to the maximum amount with respect to all fixed payments of principal as well as perioical payments including interest and compensation for damages resulting from failure to perform obligations that have fallen due in the most recent two years
H18-20-1	in cases where an adult ward receives the gift of a building the adult ward cannot rescindthe relevant gift contract
H19-13-I	statutory liens for employer-employee relationships secure salaries paid regularly but do not secure retirement payments that should be paid when the employee retires
H24-11-1	any claim of a real right based on an ownership is the right derived from the ownership therefore only a claim of real right separated from an ownership may not be assigned but may be extinguished by an extinctive prescription
H25-22-3	in the case where the parties agree on the amount of the liquidated damages with respect to the failure to perform the obligation the court only may increase the amount thereof but may not decrease the amount thereof
H23-2-O	even if it is a contract offer with a determined consent period if the period is before or at the same time as the arrival of the offer it can be revoked
H27-24-1	the borrower shall bear the ordinarily necessary costs of borrowed things the lessee shall not bear the ordinarily necessary costs of leased things
H21-13-A	the statutory lien of a lessor of a building shall exist with movables furnished to that building by the lessee
H18-26-1	in cases where person a and person b co-own building x at a ratio of 1 1 if person a dies and had no heirs or persons with special connection ownership of building x belongs to person b
H27-31-U	if parents agree upon which parent shall have parental authority in relation to a child at the time of divorce they may agree that the other parent shall have parental authority
H26-24-A	if the parties have not specified the timing of the return and the purposes of the using and taking profits the lender may not demand the return of the subject matter of the loan for use unless the lender demands the return specifying a reasonable period
H24-7-E	in cases where a and b have a joint and several obligation which a bears the portion of all the extinctive prescription of a's obligation shall not be nullified even if b acknowledge b's obligation to the obligee therefore b also shall be relieved of the obligation if the extinctive prescription is completed
H19-30-1	even if contrary to the intentions of the principal management of business may be established and in that case the manager may request reimbursement for expenses incurred for the principal solely to the extent such principal actually enriched
H27-23-O	a contract for lease is a consensual contract so that a contract for lease shall be formed by the agreement between the perties on the other hand a contract for loan for consumption is a contract in kind so that even if the perties promises that one of the parties will deliver money or other things and the other party will return by means of things that are the same in kind quality and quantity the agreement shall be void
H25-15-4	in the case where the first mortgage and the second mortgage were created on the same real property of the obligor if the obligor pay the obligation which was secured by the first mortgage the obligor shall obtain the first mortgage by subrogation by performance
