H20-15-E	an heir who has made qualified acceptance shall administrate the inherited property with the care of a good manager until payments to the inheritance obligee and donee are ended
H27-34-U	in the case of comprehensive testamentary gift if the heirs are silbings of the decendent they shall not receive legally reserved portion
H27-33-E	unless the testator has indicated a particular intent in his her will a testamentary donee may collect the fruits of a testamentary gift from the time that they are able to make a claim for the performance of that gift
H26-33-E	the disinheritance of a presumed heir may be done only with respect to the presumed heir who has a legally reserved portion and may not be done with respect to siblings of the decedent
H26-33-C	if a will by holograph document the testator that has been sealed is opend without passing through probate the will relating to inheritance shall be void
H19-1-5	in cases where a fictitious sales contract was formed in collusion with another party even if the buyer's heir did not know such fact the seller may assert nullity of the contract in question
H21-25-2	if a person with a duty of testamentary gift give notice to a testamentary donee to the effect that acceptance or renunciation of the testamentary gift should be made within a specified period fixing a period that is reasonable in this case if a donee does not indicate his her intention to a person with a duty of testamentary gift within that period the testimony gift shall be deemed to have been accepted
H26-33-A	in cases where a decedent's child has died before the commencement of inheritance the child of the decedent's child shall be an heir as an heir per stirpes provided however that the child of the decedent's child shall not be an heir as an heir per stirpes in cases where a decedent's child has lost the right to inheritance by causes of disqualification of heir or disinheritance of presumed heir referring to a person who would otherwise become an heir upon the commencement of inheritance
H21-3-3	a testamentary donee may collect the fruits of a testamentary gift from the time that he she is to able to make a claim for the performance of the gift as long as the testator has not indicated a particular intent in his her will
H26-34-I	even if it becomes clear after division of inherited property that there was a latent defect in the building belonging to the inherited property the heir who acquired the building by division of inherited property may not claim warranty against defects against the other heirs
H27-33-O	a testamentary donee by a universal succession shall succeed the duties attached to the property of the decedent
H27-33-I	acceptance or renunciation of a testamentary gift may not be revoked
H-A1000-P0	if things or rights being the object of a testamentary gift were the object of the rights of a third party at the time of the testator's death a testamentary donee may not demand a person having an obligation with respect to testamentary gift to extinguish the third party's rights provided however that this shall not apply if the testator has indicated a contrary intent in his her will
H-A1001-P0	in the case where money is the object of a claim which is the object of a testamentary gift that money shall be presumed to have been an object of the testamentary gift even if there are insufficient funds equivalent to that claim in the inherited property
H-A1001-P1	in the case where a claim is the object of a testamentary gift if the testator has received performance for that claim and the received things are already with the inherited property those things shall be presumed to have been an object of the testamentary gift
H-A1002-P0	a person who has received a testamentary gift with burden shall bear a responsibility to perform the duties borne limited to an amount not exceeding the object of the testamentary gift
H-A1002-P1	if a testamentary donee has renounced a testamentary gift with burden the person who would have received gain from the discharge of burden may become a testamentary donee him herself provided that if the testator has indicated a particular intent in his her will that intent shall be complied with
H-A1003-P0	if the value of an object of a testamentary gift with burden is reduced due to the qualified acceptance of an heir or a filing for recovery of legally reserved portion a testamentary donee may avoid the duties borne from that testamentary gift proportional to the reduction provided however that if the testator has indicated a particular intent in his her will that intent shall be complied with
H-A1004-P0	the provision of the preceding paragraph shall not apply to a will made by notarized document
H-A1004-P1	a custodian of a will after coming to know of the commencement of inheritance shall without delay submit the will to the family court and apply for probate in the case where there is no custodian of a will the same shall apply after an heir discovers the will
H-A1004-P2	a will that has been sealed may not be opened unless in the family court in the attendance of an heir or his her representative
H-A1005-P0	a person who fails to submit a will pursuant to the provisions of the preceding article executes a will without passing through probate or opens a sealed will in a place other than a family court shall be made subject to a civil fine of not more than 50 000 yen
H-A1006-P0	a testator may by will designate one or several executors or entrust that designation to a third party
H-A1006-P1	a person who has been entrusted with the designation of an executor shall without delay make that designation and inform the heir s of the designation
H-A1006-P2	if a person who has been entrusted with the designation of an executor intends to resign from that entrustment he she shall notify the heir s to that effect without delay
H-A1007-P0	if an executor consents to taking office he she shall undertake his her duties immediately
H-A1008-P0	an heir or other interested party may having specified a reasonable period make a demand to an executor to the effect that that he she make a definite answer within that period as to whether he she consents to taking office in this case if the executor does not make a definite answer to the heir within this period he she shall be deemed to have consented to taking office
H-A1009-P0	a minor or a bankrupt may not become an executor
H-A1010-P0	if an executor does not exist or the office becomes vacant the family court may appoint an executor at the request of an interested party
H-A1011-P0	an executor shall without delay prepare an inventory of inherited property and deliver this to the heir s
H-A1011-P1	at the request of an heir an executor shall prepare an inventory of inherited property in the heir's attendance or have a notary public create the inventory
H-A1012-P0	the provisions of articles 644 to 647 inclusive and 650 shall apply mutatis mutandis to an executor
H-A1012-P1	an executor shall have the rights and duties of administration of inherited property and all other necessary acts for the execution of a will
H-A1013-P0	in the case where there is an executor an heir may not make a disposition of inherited property or any other act that interferes with the execution of the will
H-A1014-P0	in the case where a will concerns specified property in the inherited property the provisions of articles 1011 to 1013 inclusive shall only apply to that specified property
H-A1015-P0	an executor shall be deemed the representative of the heir s
H-A1016-P0	an executor may not allow a third party to undertake the duties of an executor unless there are justifiable reasons provided however that this shall not apply if the testator has indicated a contrary intent in his her will
H-A1016-P1	in the case where an executor has allowed a third party to undertake the duties of an executor pursuant to the provision in the proviso to the preceding paragraph the executor shall owe the responsibility referred to in article 105 to the heir s
H-A1017-P0	in the case where there are two or more executors execution of their duties shall be decided by majority provided however that this shall not apply if the testator has indicated a contrary intent in his her will
H-A1017-P1	despite the provision of the preceding paragraph each executor may undertake an act of preservation
H-A1018-P0	the provisions of paragraphs 2 and 3 of article 648 shall apply mutatis mutandis to the case where an executor receives remuneration
