H24-25-5	the pre-contract of a loan for consumption shall lose its effect if a ruling for the commencement of bankruptcy procedure be subsequently make against one of the party .
H24-28-1	if the party do not define the time of return a borrower may terminate a money loan for consumption without charge any interest by return the borrow money at any time .
H24-14-U	a mortgage may also be exercise against the claim for damage that the obligor be to receive as a result of the loss of the subject matter of the mortgage on the other hand a right of retention may not .
H24-27-I	the party order work may cancel the contract at any time whilst the contractor have not complete the work by compensate any damage .
H24-24-U	with respect to the contract for sale of a land the obligation that the seller register the transfer of ownership and the buyer obligation of payment shall have the relationship of simutaneous performance .
H24-23-1	in case where a guarantor have give a guarantee as entrust by the principal obligor if heshe have without negligence have a judgment order himher to perform the obligation to the obligee such guarantor shall have a right to obtain reimbursement from the principal obligor .
H24-20-E	the principal for the principal obligation under a contract for revolve guarantee on loan shall be determine if an obligee have file a petition for compulsory exection with respect to a claim the subject- matter of which be payment of money on any property of the guarantor in case where the proceeding for the compulsory exection have be commence .
H24-14-A	right of retention be the right hold by a possessor of a thing belonging to another porson therefore in case a holder a right of retention lease the thing retain to a third party a right of retention shall be extinguish even if heshe obtain the consent of an owner .
H24-12-3	in case where b have the superficy over as land which have already be the subject of the mortgage and register such fact the supecify shall be extinguish if b acquire the ownership of as land .
H24-30-1	in case where an obligee a demand performance of a guarantee obligation which be not joint and several guarantee from a guarantor b in a lawsuit a shall prove that heshe have demand perfomance from a principal as revive cause of action .
H24-2-1	with respect to contract conclude by the person with limited capacity if the person with limited capacity and the statutory agent have the right to rescind the counterparty also have .
H24-27-E	even if there be any defect in the subject matter of work perform the party order the work may not demand that the contractor repair the defect in the case where the defect be not significant and excessive cost would be require for the repair .
H24-28-4	even in case where the duration of the partnership be specify if a partner die an heir of the partner may withdraw from the partnership .
H24-27-A	if the contract for work terminates during performance due to reason not attributable to the contractor heshe may demand remuneration in proportion to the performance already complete .
H24-6-A	in case where it be already establish conclusively at the time of the performance of the applicable juristic act that a certain condition will not be fulfil if such condition be a condition subsequent such juristic act shall be unconditional on the other hand if such condition be a condition precedent such juristic act shall be void .
H24-20-U	no contract for revolve guarantee on loan shall be effective unless the maximum amount be stipulate .
H24-27-O	where delivery of the subject matter be require the demand for repair must be make within one year from the time of the delivery of the subject matter of the work .
H24-22-1	if the lessor refuse to accept the rent by cause the dispute about the completion of the lease of build the lessee may make the deposit with the official depository have jurisdiction over the domicile of the lessee or the lessor .
H24-4-U	in case the validity of a manifestation of intention should be affect by know any paricular circumstance whether or not such fact exist shall at the election of the principal be determine with eigther the principal or the agent .
